"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
95	1.0000000	0.0710313	0.1979877	0.9070696	0.5008088	0.8730024	0.4270025	0.0848373	0.3166264	0.4849713	0.3624498	0.3741858	0.5407794	0.1683422	0.9490584	0.1452967	0.2283778	0.0384276	0.9182020	0.8402627	0.9997254	0.7193022	0.4291746	0.8386584	0.6151006	0.4926847	0.4828441	0.1695144	0.3358542	0.3359273	0.6471791	0.0428156	0.8990043	0.0010809	0.9855665	0.0149635	0.9981066	0.0314273	0.1564095	0.2336236	0.7873415	0.8360240	0.7021471	0.9869285	0.7358038	0.1751317	0.4888016	0.3117514	0.8097295	0.8341180	0.0070387	0.1739873	0.7192590	0.9867888	0.8386918	0.5678995	0.0993886	0.1712461	0.2118383	0.4520901	0.6356064	0.4505401	0.0863023	0.6792624
100	1.0000000	0.0710280	0.1924524	0.9070530	0.4928401	0.8727174	0.4269692	0.0849771	0.3158467	0.4839256	0.3615067	0.3697668	0.5401130	0.1697614	0.9490591	0.1458458	0.2289311	0.0382784	0.9183798	0.8402727	0.9997190	0.7096395	0.4283849	0.8384220	0.6157871	0.4986526	0.4739510	0.1748524	0.3458807	0.3442027	0.6476640	0.0430558	0.9094860	0.0010834	0.9850585	0.0149635	0.9980693	0.0314384	0.1589700	0.2195426	0.7899738	0.8305581	0.7024778	0.9868619	0.7359361	0.1744114	0.4892147	0.3119087	0.8182449	0.8332227	0.0071340	0.1736575	0.7401485	0.9868617	0.8327555	0.5839825	0.1001160	0.1704596	0.2182888	0.4518113	0.6289876	0.4585234	0.0875613	0.6812925

0	1.0000000	0.0694567	0.1562514	0.9070791	0.4655734	0.8492139	0.4038392	0.0958049	0.3222483	0.4945927	0.3888372	0.3360744	0.6005113	0.1584132	0.9490196	0.1430040	0.2067345	0.0393833	0.9168169	0.8402062	0.9997606	0.6672922	0.4339407	0.8394616	0.5963398	0.5600859	0.3929239	0.2075229	0.4348232	0.2457871	0.6094950	0.0337328	0.9769144	0.0009267	0.9839816	0.0149635	0.9988919	0.0278235	0.0390513	0.0545690	0.8118725	0.8006217	0.6529648	0.9905787	0.7218308	0.1773995	0.4582025	0.3079305	0.9071187	0.8678496	0.0080080	0.2015097	0.8625363	0.9936864	0.8722893	0.6927167	0.0683763	0.2127156	0.2636955	0.4539092	0.7247537	0.4269140	0.0935268	0.6365069
5	0.9763475	0.0694693	0.1562412	0.9092863	0.5596793	0.8492631	0.3841798	0.0957772	0.3666000	0.4920014	0.4276030	0.3438490	0.6210382	0.1583983	0.9490169	0.1429740	0.2067342	0.0393839	0.9168039	0.8401978	0.9997606	0.6672763	0.4339532	0.8394489	0.6205531	0.5600264	0.4313036	0.1862370	0.4348290	0.2457624	0.6322197	0.0297782	0.9769120	0.0009267	0.9859560	0.0149635	0.9988906	0.0278266	0.0616626	0.0545531	0.7662552	0.8006239	0.6529660	0.9905724	0.7535158	0.1774425	0.4584094	0.3204411	0.9071183	0.8678367	0.0080100	0.2015199	0.8625502	0.9537465	0.8723035	0.6927238	0.0616738	0.2143466	0.2428391	0.4539133	0.7247058	0.4269259	0.0893255	0.6365550
10	0.9561144	0.0695501	0.1562218	0.9112993	0.6314827	0.8495181	0.3663989	0.0956215	0.4064156	0.4901850	0.4621274	0.3508898	0.6396969	0.1582735	0.9489779	0.1428395	0.2067337	0.0393970	0.9167323	0.8401325	0.9997607	0.6672060	0.4340542	0.8393745	0.6425875	0.5596728	0.4659831	0.1678495	0.4348385	0.2457120	0.6512236	0.0262882	0.9768944	0.0009274	0.9876871	0.0149635	0.9988822	0.0278480	0.0815544	0.0545384	0.7267906	0.8006372	0.6529759	0.9905329	0.7808316	0.1775571	0.4597519	0.3308932	0.9071488	0.8678246	0.0080243	0.2016160	0.8628110	0.9195583	0.8723439	0.6927295	0.0558798	0.2156445	0.2240825	0.4538966	0.7245397	0.4269406	0.0860130	0.6365490
15	0.9388065	0.0697434	0.1561867	0.9131133	0.6860558	0.8500237	0.3503937	0.0952804	0.4421730	0.4894475	0.4932643	0.3573969	0.6564678	0.1579629	0.9488768	0.1425330	0.2067330	0.0394311	0.9165762	0.8399732	0.9997609	0.6670473	0.4343017	0.8391995	0.6626383	0.5588396	0.4973502	0.1520305	0.4348550	0.2456201	0.6670842	0.0232081	0.9768516	0.0009291	0.9892048	0.0149635	0.9988612	0.0278999	0.0990532	0.0545249	0.6926452	0.8006688	0.6530014	0.9904363	0.8043782	0.1777850	0.4627889	0.3398187	0.9072307	0.8678136	0.0080590	0.2018541	0.8634739	0.8902948	0.8724284	0.6927307	0.0508806	0.2165257	0.2072229	0.4538452	0.7241792	0.4269596	0.0834111	0.6364546
20	0.9240008	0.0700744	0.1561322	0.9147279	0.7273207	0.8507151	0.3360377	0.0947495	0.4742980	0.4899467	0.5217127	0.3635464	0.6714045	0.1574240	0.9486960	0.1420174	0.2067321	0.0394916	0.9163301	0.8396986	0.9997614	0.6667834	0.4347289	0.8389032	0.6808834	0.5574367	0.5257526	0.1384824	0.4348803	0.2454807	0.6802904	0.0204899	0.9767775	0.0009322	0.9905355	0.0149635	0.9988228	0.0279888	0.1144466	0.0545124	0.6631054	0.8007233	0.6530489	0.9902654	0.8246737	0.1781385	0.4676542	0.3476034	0.9073761	0.8678037	0.0081193	0.2022656	0.8646216	0.8652478	0.8725671	0.6927220	0.0465757	0.2169545	0.1920746	0.4537506	0.7235834	0.4269826	0.0813773	0.6362508
25	0.9113356	0.0705546	0.1560573	0.9161462	0.7583126	0.8514841	0.3231930	0.0940532	0.5031698	0.4917306	0.5480393	0.3694970	0.6846066	0.1566412	0.9484242	0.1412759	0.2067310	0.0395817	0.9159987	0.8392996	0.9997620	0.6664096	0.4353505	0.8384780	0.6974848	0.5554438	0.5515018	0.1269385	0.4349158	0.2452944	0.6912563	0.0180911	0.9766693	0.0009368	0.9917021	0.0149635	0.9987622	0.0281179	0.1279877	0.0545009	0.6375581	0.8008032	0.6531247	0.9900074	0.8421650	0.1786061	0.4742177	0.3545231	0.9075904	0.8677954	0.0082079	0.2028644	0.8662845	0.8438110	0.8727651	0.6926962	0.0428767	0.2169323	0.1784686	0.4536080	0.7227381	0.4270083	0.0797972	0.6359266
30	0.9005015	0.0711856	0.1559621	0.9173738	0.7813827	0.8522221	0.3117195	0.0932282	0.5291262	0.4947683	0.5726900	0.3753915	0.6961981	0.1556197	0.9480550	0.1403054	0.2067300	0.0397029	0.9155916	0.8387754	0.9997629	0.6659303	0.4361678	0.8379254	0.7125901	0.5528883	0.5748762	0.1171597	0.4349623	0.2450659	0.7003318	0.0159743	0.9765263	0.0009428	0.9927249	0.0149635	0.9986746	0.0282875	0.1398994	0.0544903	0.6154754	0.8009097	0.6532352	0.9896525	0.8572379	0.1791586	0.4821995	0.3607724	0.9078747	0.8677893	0.0083261	0.2036517	0.8684560	0.8254655	0.8730231	0.6926448	0.0397056	0.2164883	0.1662510	0.4534151	0.7216474	0.4270343	0.0785795	0.6354786
35	0.8912336	0.0719623	0.1558484	0.9184179	0.7983549	0.8528407	0.3014815	0.0923132	0.5524681	0.4989754	0.5959983	0.3813554	0.7063131	0.1543793	0.9475859	0.1391116	0.2067291	0.0398553	0.9151203	0.8381312	0.9997640	0.6653554	0.4371726	0.8372530	0.7263336	0.5498274	0.5961240	0.1089321	0.4350200	0.2448021	0.7078131	0.0141063	0.9763492	0.0009504	0.9936216	0.0149635	0.9985548	0.0284961	0.1503777	0.0544806	0.5964009	0.8010427	0.6533868	0.9891933	0.8702250	0.1797562	0.4912512	0.3664868	0.9082264	0.8677859	0.0084741	0.2046199	0.8711033	0.8097668	0.8733391	0.6925590	0.0369939	0.2156697	0.1552819	0.4531716	0.7203293	0.4270581	0.0776505	0.6349086
