"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
95	0.6512466	0.0837984	0.1517380	0.6386370	0.2521777	0.4599936	0.3812486	0.0625585	0.2276840	0.3627477	0.2844898	0.1995732	0.4086569	0.1627512	0.7034462	0.0833421	0.1529858	0.0137086	0.6669938	0.6264865	0.7067666	0.5326608	0.2784915	0.6279627	0.5331002	0.2813127	0.3716693	0.1106654	0.2042705	0.2277669	0.3564303	0.0157792	0.5941949	0.0015927	0.5649345	0.0030351	0.7087079	0.0194539	0.0840960	0.1629380	0.4792291	0.5274107	0.5009998	0.7211694	0.4892568	0.1133017	0.3329409	0.2364833	0.5182274	0.5320056	0.0107823	0.1310618	0.6110949	0.6492102	0.5308623	0.2841319	0.0749854	0.0896666	0.1607391	0.3092918	0.4195058	0.2940402	0.0482256	0.4406086
100	0.6776955	0.0716143	0.0968728	0.5603027	0.2831905	0.6301605	0.3548238	0.0671107	0.1732918	0.2902596	0.2947045	0.2220282	0.3791073	0.1592936	0.6034427	0.0911300	0.1300668	0.0269874	0.6230688	0.5689668	0.6224840	0.5257820	0.2322885	0.5376286	0.4367232	0.3540216	0.3193305	0.0965585	0.2447784	0.2559979	0.4269600	0.0321032	0.6876831	0.0003462	0.6840212	0.0086987	0.6287930	0.0236743	0.1305337	0.1347552	0.6596955	0.6346027	0.5063581	0.7141923	0.4435509	0.1348694	0.3441628	0.2705989	0.5536759	0.5603531	0.0054209	0.1412977	0.5408495	0.5765094	0.5604666	0.3498315	0.0612209	0.2042919	0.1735552	0.3300008	0.4004601	0.3367656	0.0598251	0.4699345

0	0.6306233	0.0533023	0.1162394	0.6492530	0.3059386	0.6272128	0.2553305	0.0683839	0.2597755	0.3634456	0.2225592	0.2502497	0.4108124	0.0866937	0.7460727	0.0791932	0.1250845	0.0420445	0.6586862	0.6203678	0.7492311	0.5160973	0.3533068	0.5731217	0.4676989	0.3593958	0.2189979	0.2161993	0.2968589	0.1876762	0.3756240	0.0146085	0.6466389	0.0010757	0.7236355	0.0036821	0.5871389	0.0161500	0.0228813	0.0275052	0.6077463	0.5010853	0.4291483	0.5763159	0.5833097	0.1310673	0.2858462	0.2111234	0.5891970	0.7278153	0.0150115	0.1340032	0.5227255	0.6766999	0.5637486	0.4769908	0.0538049	0.1310562	0.2349923	0.3076748	0.5740644	0.2434313	0.0515765	0.3816502
5	0.8073665	0.0465491	0.1168673	0.6486428	0.4263043	0.6988612	0.2593436	0.0687627	0.2653860	0.3008978	0.2800093	0.1849692	0.5479112	0.1149685	0.7458577	0.0829603	0.1046288	0.0443951	0.6604679	0.6316832	0.7216921	0.4936840	0.2396424	0.5552723	0.3490297	0.4021043	0.3457708	0.1607113	0.2791027	0.2481879	0.3726331	0.0174404	0.6960522	0.0024979	0.5424943	0.0058041	0.6624821	0.0203914	0.0228212	0.0446933	0.4400720	0.6781392	0.3940807	0.6739567	0.4812115	0.1029420	0.2358093	0.1302990	0.6067305	0.6355934	0.0197455	0.1219295	0.5123843	0.6019292	0.6105987	0.5698009	0.0702637	0.1597033	0.1136721	0.3525401	0.6632702	0.4075036	0.0554996	0.4400529
10	0.7675048	0.0607290	0.0904970	0.5386617	0.4343106	0.5447628	0.1978560	0.0411729	0.3005021	0.2708525	0.2602345	0.2557341	0.5322290	0.0998504	0.6216874	0.0690154	0.1118688	0.0676388	0.6522791	0.6577425	0.8492899	0.4872674	0.2240827	0.5273065	0.3377903	0.3695507	0.3220959	0.1298149	0.2023553	0.1523342	0.4940309	0.0191609	0.6682939	0.0011142	0.6203696	0.0076535	0.5177542	0.0167084	0.0468848	0.0272487	0.4477833	0.6002795	0.4792673	0.6810516	0.4123026	0.1102486	0.2465639	0.1443969	0.6492882	0.5848918	0.0500054	0.1287224	0.5208194	0.5582004	0.6281699	0.4316675	0.0362591	0.1355113	0.1100547	0.3766704	0.5014892	0.2749765	0.0843026	0.4859177
15	0.7231000	0.0523163	0.1059808	0.6147957	0.4639565	0.5877032	0.1961717	0.0678959	0.3539753	0.2534027	0.3402336	0.2481120	0.6303969	0.0976152	0.6013016	0.0916013	0.1072521	0.0394956	0.4580460	0.6251953	0.7418685	0.5190742	0.2524241	0.6175717	0.4469003	0.4533277	0.3596617	0.1454878	0.2426823	0.1564242	0.4681993	0.0264311	0.6325517	0.0014838	0.6678791	0.0146656	0.5908226	0.0251812	0.0850808	0.0580360	0.4827268	0.6236737	0.3861598	0.6372344	0.4024396	0.1159604	0.3034978	0.1938415	0.6248424	0.5619873	0.0128149	0.2047939	0.5425272	0.5890062	0.7272829	0.5604531	0.0277317	0.1685682	0.1012773	0.3464760	0.5237500	0.3482835	0.0639251	0.5330219
20	0.6698820	0.0380065	0.1445122	0.6574267	0.5079492	0.5230447	0.2899963	0.0735217	0.3564843	0.3051487	0.4053663	0.1699206	0.4344567	0.0851290	0.5774965	0.0849737	0.1308126	0.0427751	0.5987858	0.6246985	0.7265098	0.4531291	0.2393762	0.7409160	0.4284006	0.4957425	0.3790783	0.1162903	0.2789058	0.1322936	0.4863706	0.0046423	0.7062607	0.0007029	0.6120257	0.0096082	0.6144200	0.0134078	0.0849776	0.0425305	0.4788002	0.5205948	0.4870302	0.7382217	0.5659545	0.1801766	0.2248861	0.1493355	0.5609532	0.6681079	0.0149628	0.1040381	0.5204876	0.4979653	0.6242563	0.4010994	0.0381467	0.1742240	0.1317434	0.3620573	0.4555748	0.3595027	0.0523933	0.3469441
25	0.6769800	0.0299468	0.0941687	0.6756179	0.4970812	0.7154447	0.2799347	0.0737172	0.3284906	0.3063717	0.4073782	0.2528268	0.4914538	0.0746754	0.6459666	0.1210084	0.0955626	0.0491513	0.5057513	0.6110602	0.8464561	0.3927403	0.2491444	0.5963184	0.5741767	0.3979059	0.3617277	0.0750124	0.2538971	0.1918638	0.4352323	0.0084115	0.7731139	0.0007544	0.7050483	0.0157719	0.7336426	0.0264700	0.0929248	0.0726830	0.4143910	0.5200575	0.3856174	0.5734765	0.5281400	0.1069297	0.2616417	0.1972760	0.5837770	0.4993148	0.0098022	0.1203675	0.5140642	0.5785115	0.5793589	0.6223026	0.0524434	0.1267067	0.1345677	0.3550497	0.4409391	0.2969765	0.0445088	0.4506034
30	0.7048293	0.0405342	0.1064166	0.6261665	0.4633809	0.6597281	0.2385071	0.0538550	0.3794387	0.2923253	0.3360550	0.2538027	0.5088210	0.0849844	0.5569009	0.1067533	0.1734318	0.0325116	0.5323240	0.6687675	0.7349285	0.3970162	0.3030419	0.5982380	0.5011752	0.4710686	0.4180468	0.1010581	0.2099425	0.2241350	0.4639428	0.0127958	0.6646298	0.0008414	0.5983808	0.0191336	0.7286047	0.0341691	0.1424921	0.0453149	0.3459550	0.6528674	0.4931340	0.6239827	0.4370500	0.1441764	0.3157953	0.1674035	0.6555897	0.4935634	0.0046511	0.1675642	0.5600414	0.4881368	0.6329727	0.5105761	0.0537317	0.1331708	0.1418333	0.4059203	0.4148603	0.4198039	0.0592958	0.4979731
