G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
1.0454109	0.0631556	0.1522394	0.9216849	0.4475795	0.8545104	0.4336314	0.1062612	0.3597258	0.5124927	0.4000806	0.3165136	0.5524648	0.1517517	0.9350471	0.1369766	0.2505429	0.0494093	0.9091011	0.9967767	0.0000000	0.0681892	0.5839479	0.3221353	0.5514327	0.5448911	0.4078562	0.1915088	0.4749882	0.2148829	0.6334120	0.0372800	0.9570060	0.0013461	0.9903986	0.0197122	1.0612743	0.0296095	0.0590511	0.0808888	0.8667841	0.7951906	0.6101599	0.9633513	0.6971197	0.2427579	0.4874244	0.2482300	0.9598376	0.9454953	0.0092423	0.2194898	0.9102740	1.0723183	0.9212614	0.7072457	0.0782947	0.1875537	0.2511492	0.4460046	0.7495578	0.4663970	0.1326870	0.6261478
1.0579200	0.0715990	0.1406124	0.8691795	0.4681966	0.9412849	0.3942011	0.0887979	0.3433570	0.4303760	0.4257314	0.3515212	0.6102843	0.1479854	0.9351733	0.1220199	0.2107606	0.0672999	0.9469028	0.9282318	0.9689305	0.0000000	0.3047994	0.3290301	0.6009537	0.6434626	0.4719803	0.1808671	0.4951817	0.2704759	0.6800989	0.0336110	0.9878830	0.0011237	1.0394740	0.0173460	1.0571775	0.0249598	0.0513895	0.0606936	0.8051458	0.8200788	0.7227790	0.9846531	0.7395648	0.1429171	0.4661733	0.2947924	0.9494999	0.8373109	0.0079203	0.2077405	0.8537752	1.0766003	0.9486929	0.5857837	0.0600915	0.2126956	0.2174013	0.4854591	0.7176262	0.4931517	0.0707034	0.6191399
1.0525720	0.0479840	0.1355388	0.9104670	0.4914922	0.8541478	0.3733188	0.0854381	0.3538232	0.4563094	0.3598266	0.3232581	0.5590584	0.1466535	1.0377444	0.1694794	0.1958246	0.0586758	0.9731309	0.7828295	1.0288673	0.0524101	0.0000000	0.3791440	0.5581577	0.6054186	0.3958475	0.1553227	0.4249732	0.1992888	0.5880982	0.0275709	1.0218191	0.0004316	1.0838404	0.0151305	1.1176954	0.0304255	0.0533627	0.0710555	0.8010641	0.7980910	0.5894193	1.0419579	0.6655953	0.1633972	0.4373780	0.3241469	0.9669270	0.8774903	0.0009697	0.2413547	0.8816199	1.0188843	0.8752318	0.7374440	0.0740934	0.1958770	0.2520911	0.4564280	0.7865938	0.4425786	0.1271278	0.6311716
0.9019390	0.0490330	0.1705689	0.9245514	0.4017364	0.9171029	0.4455005	0.0982618	0.2913478	0.5137059	0.3886965	0.3467866	0.6178886	0.1459047	1.0071019	0.1757720	0.2122539	0.0490772	0.9539826	0.8350786	0.9651408	0.4500228	0.1599505	0.0000000	0.6553887	0.6498480	0.4334594	0.1919860	0.4653099	0.2910713	0.6368365	0.0299497	1.0327349	0.0023441	0.9849609	0.0094097	0.9727019	0.0242923	0.0236905	0.0498984	0.8433246	0.8571914	0.6815147	1.0349481	0.6960596	0.1771818	0.3696710	0.3685366	0.8408240	0.8334933	0.0061448	0.2169540	0.8139739	0.9887224	0.8980726	0.7117273	0.0931010	0.2831259	0.2818221	0.5162292	0.7713618	0.4406283	0.1048961	0.6464726
0.9522201	0.0850801	0.1365799	0.9509540	0.5036351	0.8406965	0.3828476	0.1274902	0.3303162	0.4636174	0.3594021	0.3521447	0.4964794	0.1662886	0.9932677	0.1332522	0.1942914	0.0456231	0.9582185	0.8304101	1.0342481	0.7306935	0.4935651	0.8421264	0.0000000	0.9030722	0.1203920	0.1120479	0.4787820	0.2515829	0.6144276	0.0543271	0.9647029	0.0043644	1.0648038	0.0190889	1.0208561	0.0086306	0.0158910	0.0395813	0.8822428	0.7715404	0.6783635	1.0423088	0.7897433	0.2102206	0.4822765	0.3307936	0.9935384	0.9902639	0.0022553	0.2043635	0.9077891	1.0006614	0.9156759	0.7184810	0.0496404	0.1853924	0.2822134	0.4040245	0.7302721	0.4354143	0.1147450	0.7208796
0.9382646	0.0812921	0.1890813	0.8407141	0.4209445	0.7584610	0.4034272	0.1073110	0.2813668	0.5592809	0.4108748	0.3301339	0.6718357	0.1577418	0.9098081	0.1651875	0.2234575	0.0410868	0.9142748	0.8528838	1.0249435	0.6390450	0.4636938	0.8790873	0.5139148	0.0000000	0.5232517	0.5241184	0.4810472	0.1957107	0.5809822	0.0289019	1.0109145	0.0027876	1.0296425	0.0317878	1.0099293	0.0304818	0.0363735	0.0638271	0.8322974	0.8559535	0.6302600	0.9609209	0.7708949	0.1770189	0.5335856	0.3413074	0.9556991	0.8736294	0.0197166	0.2297998	0.9242654	1.0283237	0.9245973	0.6978121	0.0665875	0.2232171	0.2830786	0.4150545	0.6994079	0.3733268	0.1095796	0.5830181
0.9814665	0.0875171	0.1486654	0.9153431	0.6015281	0.8124604	0.5052185	0.0973103	0.3062579	0.4636360	0.3530831	0.2742843	0.5670771	0.2386553	0.8723475	0.1580462	0.2066956	0.0410147	0.9850940	0.8640053	1.0076624	0.6646922	0.4525198	0.8082723	0.5908033	0.8994223	0.0000000	0.2456162	0.3695285	0.2863384	0.6265100	0.0444923	0.9768500	0.0004674	1.0795609	0.0160025	0.9843334	0.0463208	0.0516327	0.0704170	0.8281754	0.7843811	0.6536912	1.0101378	0.6919949	0.1742847	0.5871214	0.3013274	1.0229944	0.9454801	0.0085060	0.1932087	0.9047293	0.9861119	0.9280443	0.7522088	0.0804173	0.1995959	0.2191382	0.4682684	0.7799921	0.4103145	0.0949240	0.6605252
0.9181129	0.0592516	0.1442857	0.9282258	0.4873049	0.9052138	0.3776929	0.0767050	0.2783191	0.5203980	0.4456109	0.3159444	0.5920776	0.2119179	0.9868035	0.2176223	0.2065781	0.0452279	0.8701639	0.8816504	0.9924626	0.6660047	0.5067687	0.8457234	0.6019080	0.6253271	0.3947602	0.0000000	0.4306836	0.2975681	0.7008736	0.0345027	0.9223809	0.0002788	1.0849110	0.0139604	0.9261052	0.0358876	0.0583634	0.0430356	0.8605324	0.8206731	0.6659416	0.9960282	0.6834290	0.1382327	0.3936708	0.3530667	0.9237376	0.9216945	0.0133441	0.2321985	0.8906710	0.9880855	0.8568386	0.6678228	0.0727021	0.2172360	0.2810651	0.4678409	0.7751312	0.4734102	0.1141862	0.6075560
1.0473055	0.0781655	0.1487649	0.9653119	0.4505472	0.8218019	0.4086421	0.1001746	0.3434507	0.5418439	0.4529429	0.3375265	0.6864504	0.0854165	0.9486483	0.0740987	0.2094930	0.0385557	0.9889767	0.8345235	1.0362598	0.6321950	0.4795933	0.7637333	0.6018196	0.5141312	0.4724993	0.2112151	0.0000000	0.5223105	0.6834627	0.0982537	0.9494329	0.0021750	0.9337282	0.0177330	1.0889081	0.0284065	0.0480602	0.0615689	0.8236304	0.7888776	0.7176526	1.0219232	0.8015554	0.2028296	0.6017290	0.3210591	0.9032552	0.8382617	0.0102676	0.1799405	0.9785183	1.0507213	0.8902500	0.7608431	0.0716128	0.1505781	0.2836716	0.4716594	0.6867685	0.3656927	0.0698867	0.6450350
1.0389288	0.0491824	0.1794980	0.9029976	0.4500285	0.8534622	0.4179072	0.0844672	0.3348919	0.4949413	0.3999772	0.3389248	0.6034861	0.1510963	0.9229893	0.1184245	0.2299082	0.0283639	1.0128086	0.9097497	0.9885646	0.5843740	0.3745994	0.7950332	0.5903950	0.5291935	0.4158809	0.1924547	0.4072472	0.0000000	0.6287621	0.0579145	0.9779303	0.0027906	1.0177640	0.0299533	0.9610681	0.0189527	0.0462549	0.0597285	0.7890900	0.8356050	0.6799875	1.1214017	0.7421244	0.1845329	0.4408974	0.3149046	0.8119961	0.9037951	0.0091300	0.1769070	0.9127836	0.9715930	0.8896981	0.6901853	0.0668175	0.1925254	0.2691260	0.4313900	0.7444945	0.4828090	0.1078506	0.6627971
