"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
95	0.6516213	0.0622389	0.1647790	0.6277772	0.4361598	0.5971276	0.2387546	0.0430293	0.2476663	0.2800067	0.2793757	0.2145070	0.4265946	0.0922891	0.6170063	0.1191225	0.1357083	0.0349222	0.5774287	0.5224552	0.6345281	0.4753018	0.2850484	0.5466482	0.4762276	0.3013209	0.3516742	0.1038668	0.2042941	0.1801767	0.3749544	0.0604450	0.5109690	0.0072807	0.6620512	0.0083980	0.6943482	0.0183298	0.0773647	0.2115403	0.5811407	0.6116996	0.5324884	0.6962668	0.5115091	0.1524699	0.3868652	0.1480463	0.5262434	0.6034181	0.0022516	0.0704532	0.4854728	0.5887182	0.6584260	0.3747725	0.0533748	0.1502121	0.1281784	0.3506716	0.5096216	0.2746317	0.0495271	0.4583409
100	0.5660704	0.0283891	0.2103550	0.7964348	0.4198590	0.5870466	0.2533679	0.0569108	0.3290447	0.3559125	0.2979681	0.2411482	0.3777411	0.1189564	0.6865607	0.1482309	0.1827047	0.0399583	0.5724353	0.5950055	0.7092661	0.5354002	0.2696411	0.6113095	0.3902809	0.2988154	0.4318702	0.1010152	0.1839468	0.2256702	0.4157739	0.0300555	0.5776954	0.0018164	0.4816832	0.0086258	0.6970423	0.0234055	0.0594377	0.2141748	0.5984948	0.6185988	0.4821814	0.7817719	0.5262579	0.1651668	0.3711669	0.1664201	0.5480693	0.5809107	0.0036266	0.1096902	0.5136208	0.5614298	0.9084802	0.3287131	0.0559770	0.1272719	0.1018337	0.3373671	0.5800430	0.2489273	0.0541884	0.5236494

0	0.6533512	0.0383388	0.1258776	0.6762537	0.3238654	0.6428140	0.2815080	0.0914702	0.2011393	0.2898898	0.2397039	0.2377165	0.4729990	0.0828746	0.6976824	0.1263391	0.1019755	0.0291069	0.7309638	0.5552317	0.6602840	0.5916910	0.3222507	0.5225202	0.3705562	0.2977263	0.2929500	0.1311510	0.3206321	0.1457510	0.4257515	0.0498267	0.6455423	0.0014952	0.7656138	0.0056472	0.6741661	0.0335656	0.0490231	0.0389764	0.4380987	0.5313344	0.6255378	0.6171766	0.4869631	0.1208338	0.3562744	0.2038915	0.5700265	0.5392547	0.0017002	0.1322174	0.5819689	0.7237240	0.4917528	0.5407976	0.0298552	0.1804710	0.1727757	0.2861200	0.5751609	0.3455190	0.0677967	0.4170669
5	0.8242269	0.0296631	0.0709228	0.6635508	0.3579645	0.6203943	0.2374823	0.0670908	0.1580261	0.2821925	0.2439015	0.2236843	0.4805212	0.0988037	0.7475737	0.0632573	0.0918266	0.0610071	0.6711249	0.7036619	0.6656050	0.4956758	0.3698561	0.5269224	0.3371756	0.3874174	0.2900877	0.1595011	0.2414682	0.1673015	0.3758673	0.0313776	0.6617415	0.0030441	0.5902336	0.0131357	0.6543953	0.0309895	0.0363991	0.0186673	0.5255751	0.5342586	0.3504633	0.7121718	0.5349565	0.1549629	0.2934989	0.2136242	0.7101341	0.5155155	0.0325277	0.1416033	0.6536636	0.7521637	0.6487999	0.4437055	0.0906959	0.2356525	0.1777386	0.3854681	0.6436372	0.3289764	0.0450674	0.4309853
10	0.6931714	0.0306423	0.0859568	0.6254705	0.4293104	0.5698306	0.2472360	0.0769958	0.1938803	0.3364352	0.2430479	0.1717178	0.5242009	0.0867532	0.6550054	0.1309341	0.0910534	0.0445237	0.6505565	0.5889746	0.6700876	0.5072038	0.2303809	0.5118041	0.3956243	0.4920149	0.2496570	0.1487857	0.3289316	0.1863763	0.4167419	0.0309340	0.6447749	0.0031028	0.5355956	0.0110292	0.7229848	0.0082355	0.0431474	0.0266894	0.5248907	0.5040167	0.4900742	0.6178889	0.4684649	0.1580544	0.2419028	0.1423781	0.5074076	0.5517031	0.0172301	0.0978079	0.6533401	0.6454418	0.5592730	0.4818863	0.0469567	0.1599227	0.2432379	0.3234037	0.6425106	0.2949275	0.0628088	0.5210495
15	0.6958318	0.0241764	0.0910754	0.6150221	0.4087341	0.5685279	0.2970522	0.0525396	0.2286375	0.2872508	0.3014952	0.2446312	0.5929031	0.0811821	0.5927668	0.0691750	0.1310769	0.0417621	0.6199095	0.5892142	0.5541598	0.5108674	0.3373500	0.5414279	0.3833996	0.3651326	0.2545391	0.1264600	0.2332377	0.1554077	0.3910333	0.0118661	0.6980037	0.0017788	0.6951821	0.0193846	0.6840471	0.0051002	0.0324328	0.0398225	0.4805412	0.6064461	0.3599667	0.6370679	0.3858288	0.1556285	0.2987466	0.1188421	0.5688795	0.5835968	0.0048868	0.1622611	0.6493004	0.5940629	0.6957982	0.4475379	0.0541150	0.1334106	0.1803179	0.3759131	0.6351046	0.3079514	0.0766323	0.4213365
20	0.6427322	0.0694142	0.1127272	0.6547160	0.3657343	0.4738765	0.2974731	0.0950684	0.2044479	0.2564123	0.2876456	0.2185341	0.4501656	0.0852689	0.6709461	0.0831021	0.0919451	0.0499573	0.6482023	0.6208292	0.6132523	0.4317170	0.2377220	0.5931562	0.3465196	0.4791709	0.2572510	0.1527297	0.2578620	0.1613598	0.3859580	0.0229161	0.5756438	0.0011819	0.5519886	0.0135003	0.6136972	0.0109193	0.0450443	0.0315038	0.4479791	0.4956948	0.4006188	0.6436019	0.5419756	0.1443034	0.2128741	0.1446143	0.6899487	0.5216202	0.0556911	0.1046630	0.5269631	0.7334147	0.6044254	0.5375094	0.0618426	0.1012982	0.1491747	0.3053514	0.5689680	0.3356821	0.0508740	0.4369109
25	0.6437690	0.0272997	0.1250885	0.5844582	0.3307913	0.4937063	0.2691257	0.0830144	0.2299598	0.3050207	0.3381130	0.2344703	0.4697310	0.1326881	0.6231395	0.0873057	0.0978605	0.0688363	0.6140489	0.6455778	0.7721398	0.4191564	0.2543207	0.5578783	0.4401966	0.5176222	0.3145260	0.1418758	0.2256366	0.2106223	0.4122746	0.0271181	0.6044367	0.0005268	0.6429396	0.0176101	0.6857684	0.0038009	0.0360573	0.0395876	0.4974140	0.4749644	0.4160451	0.7082733	0.4847940	0.1123784	0.2086139	0.1650285	0.6953609	0.5414118	0.0079448	0.1189661	0.5537737	0.7038395	0.5865477	0.4860434	0.1023053	0.1389359	0.1668001	0.3400326	0.4693319	0.3004380	0.0734131	0.4458674
30	0.7236535	0.0946207	0.1093481	0.6165777	0.4876642	0.4682912	0.2628129	0.0535447	0.4021812	0.2901625	0.3887866	0.2655301	0.4935948	0.1030424	0.5108362	0.0982530	0.1256634	0.0559943	0.6018981	0.5638013	0.6250750	0.4552536	0.2051570	0.5083111	0.4370009	0.5039576	0.3149655	0.1139138	0.3262220	0.1281617	0.4158195	0.0060754	0.6563100	0.0004690	0.6878637	0.0159135	0.7095064	0.0050581	0.0819925	0.0438923	0.5052869	0.4445836	0.4117583	0.6509924	0.5289973	0.1322249	0.2549275	0.1512877	0.5886988	0.5307526	0.0093541	0.1003498	0.5781213	0.6126590	0.7569189	0.4691964	0.0813336	0.1633666	0.1575808	0.3459082	0.5224069	0.3057321	0.0500625	0.4879383
35	0.8341884	0.0616773	0.1567678	0.6190077	0.3738521	0.5306869	0.1951627	0.0501034	0.3122607	0.2552667	0.3136851	0.2208615	0.6072785	0.0821456	0.7069608	0.0871326	0.0785356	0.0274808	0.6178772	0.8682595	0.6795760	0.4477127	0.2716952	0.5604387	0.4582737	0.4058666	0.2905099	0.1766431	0.2847323	0.1901799	0.4365569	0.0076663	0.7076036	0.0001796	0.6900814	0.0166066	0.6668825	0.0121347	0.0473226	0.0331361	0.5395032	0.6190348	0.4875780	0.7043993	0.5079949	0.1116104	0.2444895	0.1613039	0.6099424	0.4389936	0.0200215	0.1163674	0.6122922	0.6588700	0.6442023	0.4777849	0.0583669	0.1434901	0.1903556	0.3806058	0.4726055	0.4089826	0.0666915	0.4224669
40	0.6614865	0.0520167	0.1187980	0.5928180	0.4398508	0.5558579	0.2916228	0.0498278	0.2975464	0.2455485	0.3181445	0.2162779	0.6405153	0.1024715	0.6528043	0.1311903	0.0891295	0.0636405	0.6858865	0.6774024	0.6727745	0.4308955	0.2918135	0.5746538	0.4082804	0.4601385	0.2841551	0.1206356	0.2283312	0.1753096	0.4366732	0.0194231	0.6643617	0.0000000	0.5959019	0.0152011	0.7416382	0.0108856	0.0703931	0.0484203	0.3840009	0.5419137	0.4357880	0.6844030	0.4364805	0.0894546	0.2871987	0.2080739	0.5620622	0.4829464	0.0177911	0.1185314	0.5292539	0.6985759	0.6525510	0.4333836	0.0342730	0.1551747	0.1704558	0.3980916	0.5787182	0.3704237	0.0614292	0.4037821
45	0.7151138	0.0373858	0.0846648	0.7153273	0.4317448	0.5345291	0.1823091	0.0450172	0.2954931	0.3703983	0.3582147	0.1701338	0.5026450	0.1157518	0.6913430	0.0870857	0.0799713	0.0340748	0.6041185	0.6200736	0.6198118	0.3942215	0.2411227	0.4762184	0.4453986	0.4359647	0.3009019	0.0994731	0.3089623	0.1741348	0.4410047	0.0165052	0.7120158	0.0000000	0.6889073	0.0035617	0.5415621	0.0382199	0.0564955	0.0307340	0.5093079	0.4955425	0.4710639	0.6244871	0.5006788	0.1168515	0.2716570	0.1497836	0.6150597	0.4903016	0.0050489	0.1028361	0.4882375	0.5772249	0.5962526	0.4072218	0.0534064	0.1332245	0.1651751	0.3098924	0.5445768	0.3806700	0.0596071	0.4642873
50	0.6311760	0.0452803	0.0823123	0.6334478	0.4134543	0.5554601	0.2762614	0.0611749	0.4391985	0.2743878	0.3813507	0.2744973	0.5046725	0.0775357	0.6965101	0.0758382	0.1136664	0.0707930	0.5521811	0.6698259	0.6583298	0.4704412	0.2577100	0.6269439	0.4914880	0.4608689	0.2894589	0.0993106	0.2355412	0.1767228	0.4360940	0.0063523	0.5730397	0.0052675	0.6575657	0.0047122	0.8047111	0.0145789	0.0791832	0.0207447	0.4408158	0.5485994	0.4212596	0.6304387	0.5463979	0.1031492	0.2351940	0.2856409	0.5741134	0.4636830	0.0218060	0.0984746	0.6397218	0.6968270	0.6661977	0.4869850	0.0310736	0.1424222	0.1327369	0.3416673	0.4878506	0.3071364	0.0468049	0.3891433
55	0.7233704	0.0332745	0.0870136	0.7612042	0.4952446	0.6067451	0.2601132	0.1121378	0.4252206	0.2977626	0.3239713	0.2281877	0.5730079	0.0829218	0.7312867	0.1115495	0.1257290	0.0435104	0.7893110	0.7629441	0.6303482	0.4230085	0.2466974	0.5049893	0.3988777	0.3823262	0.3426717	0.1039661	0.2722436	0.1881891	0.4193887	0.0108339	0.6274052	0.0006412	0.6455954	0.0141480	0.6565535	0.0253507	0.1117229	0.0305789	0.3588361	0.5160194	0.5012574	0.5614800	0.4610381	0.1887062	0.2924667	0.2431862	0.6293766	0.4961232	0.0174673	0.1462764	0.5581155	0.5961101	0.6498903	0.4887060	0.0756890	0.1473092	0.2393649	0.3338641	0.5755358	0.2831992	0.1095812	0.5221916
60	0.7434078	0.0398637	0.0936086	0.7104676	0.4814560	0.5682811	0.2781067	0.0670337	0.3626101	0.3019300	0.3124910	0.2490417	0.5192234	0.0750877	0.7127248	0.1197969	0.0902285	0.0566956	0.7042499	0.6453126	0.7040569	0.5164273	0.2400577	0.5325608	0.4491757	0.4945572	0.3464100	0.1177767	0.2418040	0.1577903	0.4919342	0.0037599	0.7376568	0.0020326	0.6163150	0.0103434	0.6350179	0.0246894	0.1043896	0.0244805	0.3921565	0.5176955	0.4878686	0.5392450	0.4593407	0.1571191	0.3250956	0.2222315	0.5548879	0.5046752	0.0062323	0.1092235	0.4701129	0.6150044	0.7206213	0.4977242	0.0394567	0.1434832	0.0772618	0.2985040	0.6036209	0.3055009	0.0652911	0.4258768
